"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000286635",11.8972753936522,2.48406147385607,0.573006234049824,4.33513865337821,1.45668276391968e-05,0.316995198718507
"FLG",83.5854918631019,-2.92965769722597,0.685915957764038,-4.27116130491574,1.94457687156708e-05,0.316995198718507
"ADAMTS9-AS1",27.819132914564,1.34815149843816,0.341926210086644,3.9428141472294,8.05310613464649e-05,0.434749803487843
"AOX3P",10.345623191612,-2.04684327039321,0.498556348960135,-4.10554047634218,4.03370642381303e-05,0.434749803487843
"ENSG00000283196",468.488228497777,0.460220259739967,0.1168552990963,3.93837732049019,8.20345195092023e-05,0.434749803487843
"HOXB8",97.986683841368,0.798386080382294,0.206041497684828,3.87488000889775,0.000106677251415598,0.434749803487843
"RN7SL210P",18.5571660772302,1.0489654534144,0.262355690904189,3.99825690763262,6.38106706091509e-05,0.434749803487843
"SERPINE1",435.991173191252,-1.52479353394772,0.390656062088073,-3.90316107165374,9.49444716880118e-05,0.434749803487843
"ENSG00000265393",34.6876439582047,0.835263810448243,0.21806349064786,3.83036980636556,0.00012795081880004,0.463508949481966
"CLASRP",837.622532799307,-0.1845159637787,0.0493777964327289,-3.73682053694072,0.000186361835281088,0.506329576305776
"LINC02805",158.930880890346,-0.293267477820712,0.078014279914659,-3.7591512495087,0.000170490751148089,0.506329576305776
"MIR196A1",48.329416167858,0.884002615774304,0.236024647610152,3.74538263153954,0.000180119040604217,0.506329576305776
"MAP2",118.802698789961,-0.747580971577344,0.204370652058757,-3.65796636672869,0.0002542243969269,0.637575231769824
"COL10A1",24.5231599200535,-2.20483039168204,0.615654166532135,-3.5812807117045,0.000341914049221067,0.719544467346752
"JPH1",115.070797921917,0.770866095780407,0.214463648132989,3.59439048291482,0.000325151877672035,0.719544467346752
"LRRC37A17P",118.412410147322,-1.16183531432147,0.325184539629217,-3.57284917556727,0.000353118163283993,0.719544467346752
"ENSG00000257279",100.306711493098,-0.364103735775319,0.103999178348169,-3.50102511922132,0.00046347215670306,0.772999416257885
"ENSG00000261038",22.8251198741608,0.768336805990804,0.222094478049973,3.45950431877879,0.000541170598710383,0.772999416257885
"ENSG00000288100",57.7797381394855,1.28880533739569,0.370969384264723,3.4741555288994,0.000512463898536798,0.772999416257885
"HOXA11-AS",10.0120042859868,1.35049927203899,0.391907582697663,3.44596361913424,0.000569026960408221,0.772999416257885
"LINC02757",17.4692197364184,-0.815908972814308,0.23651569588423,-3.44970328402087,0.000561203018400275,0.772999416257885
"PLCXD3",130.561545719963,-0.736702722226235,0.2137347318665,-3.44680864823777,0.000567250200643447,0.772999416257885
"RN7SL5P",49.924923679683,-0.750295687489631,0.216437519374308,-3.46656942686572,0.000527145578217576,0.772999416257885
"TMEM134",837.693042152497,0.263645971209517,0.0758545139982295,3.47567939352522,0.000509561060354563,0.772999416257885
"FKBP5",3621.51164693515,-0.854950662108501,0.249891599077084,-3.42128613073052,0.000623257229349538,0.783201195085041
"SOWAHD",35.7071600918006,-0.606227112988135,0.177222655909264,-3.4207088810277,0.000624581513118764,0.783201195085041
"DRD4",30.7340964283999,-0.563360312541609,0.16743705784477,-3.36460948247131,0.000766520664377164,0.785301473681476
"ENSG00000273828",67.3476035875663,-0.628996028442668,0.188299041425508,-3.3404101459088,0.000836547458353479,0.785301473681476
"HLA-DQB2",187.213572405151,-0.647287774333995,0.192201985800787,-3.36774758927254,0.000757849449664147,0.785301473681476
"LCN8",7.91668070244238,2.69045053915753,0.802549949589946,3.3523776813296,0.000801206369610253,0.785301473681476
"MPPED1",8.98191196257825,-1.67201715784062,0.497961536177121,-3.35772351149205,0.000785871784610676,0.785301473681476
"PGAP4",266.722479128029,0.531948688280639,0.157718177779629,3.37277982645666,0.000744134303530615,0.785301473681476
"TMEM132D-AS1",59.1457915232585,-0.626683742360416,0.186905108500734,-3.35295138472876,0.0007995474914135,0.785301473681476
