"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MTCO1P12",1026.19639723957,3.19586918425473,0.610896984349907,5.23143715900914,1.6819721471952e-07,0.0054112407919564
"STMN2",33.9425323937696,-1.01683311228377,0.226028086298758,-4.49870247956594,6.83694602828405e-06,0.109979113810977
"ENSG00000272668",429.532815651789,-0.88418668953292,0.207674393625786,-4.25756239898386,2.06667986105852e-05,0.221630748299916
"HSPE1",267.178641604787,-0.317903665198292,0.0765898551156534,-4.15072811821156,3.31419265706281e-05,0.266560515407562
"ATP5PD",717.501006282494,-0.302624118974419,0.0785340766431674,-3.85341156233926,0.000116483348821117,0.602726567244065
"C6",41.1384302875521,-1.98007766266039,0.517761454865141,-3.82430488800318,0.000131141550749361,0.602726567244065
"CNIH1",740.28816127891,-0.348695143711938,0.0907400100371738,-3.84279375293309,0.000121641687047921,0.602726567244065
"LINC02452",246.233720270899,0.242938553356193,0.064241557835285,3.78164169024491,0.000155797503683589,0.626539661063555
"COX4I1",1404.58686936125,-0.42921106856016,0.121095976544593,-3.54438752473419,0.000393526369075064,0.633194435283567
"DDN-AS1",40.8878860830854,0.648168448542742,0.17401961574556,3.72468612670913,0.000195558383385713,0.633194435283567
"ENSG00000232006",170.136117789734,0.302526541971371,0.0844946592846236,3.58042205901202,0.000343039659335587,0.633194435283567
"ENSG00000287335",27875.5922464323,1.22532489238147,0.341259208175532,3.59059876781758,0.000329919180456196,0.633194435283567
"FSIP2-AS2",8.39246869152671,1.31594264138706,0.370165253206346,3.55501395657332,0.000377959026447787,0.633194435283567
"GTF2H5",683.769729169161,-0.294713264500257,0.0832806657849592,-3.53879573034685,0.000401956763606768,0.633194435283567
"H2BC9",122.681146795194,-0.510036804338999,0.142025693640567,-3.59115869294595,0.000329211096882257,0.633194435283567
"MRPL15",200.667692903352,-0.377629114997056,0.103296858464271,-3.65576572812884,0.000256415443615005,0.633194435283567
"PRDX3",757.49928120044,-0.294780629005877,0.0797138809275638,-3.69798365825075,0.000217318875999479,0.633194435283567
"TCEAL8",177.042464962484,-0.371873651894477,0.105303852459864,-3.53143444620142,0.000413312294571519,0.633194435283567
"TOMM7",528.993976591121,-0.31687363210508,0.0863828609817258,-3.66824655381713,0.000244219620734503,0.633194435283567
"TOMM70",928.000535914617,-0.230154579750706,0.0637516679564529,-3.61017346099742,0.000305992303484671,0.633194435283567
"TPD52",2908.98654254315,-0.22253664949448,0.0617246602982896,-3.60531185459836,0.000311778303071269,0.633194435283567
"ENSG00000272884",36.2316694049244,1.18536959267105,0.339571122736582,3.49078444338327,0.00048160464850551,0.704281125078149
"MAP3K9-DT",26.3729759062034,-0.665832503230868,0.19219124886384,-3.46442674766417,0.000531362833651403,0.743261090618824
