"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00625,0.0107758620689655,0.30440670710847,1.60925765600595,0,200,"c(""SUPV3L1"", ""SUCLA2"", ""NDUFV1"", ""ECI1"", ""RHOT2"", ""DLST"", ""AFG3L2"", ""PDHA1"", ""SLC25A6"", ""BCKDHA"", ""IDH3B"", ""PMPCA"", ""SLC25A4"", ""CYB5A"", ""MRPL34"", ""ACO2"", ""NDUFB2"", ""SUCLG1"", ""NNT"", ""LRPPRC"", ""COX6B1"", ""MRPS22"", ""SLC25A11"", ""MRPL15"", ""UQCR11"", ""AIFM1"", ""IDH3G"", ""ATP5MC1"", ""GLUD1"", ""TIMM13"", ""TIMM50"", ""ATP5F1D"", ""NDUFS7"", ""UQCRC1"", ""POLR2F"", ""IDH3A"", ""UQCRC2"", ""RETSAT"", ""MRPL11"", ""SLC25A3"", ""MDH1"", ""CYC1"", ""OGDH"", ""NDUFA3"", ""GRPEL1"", ""UQCRFS1"", ""VDAC2"", ""TIMM17A"", ""SURF1"", ""NDUFS6"", ""PHYH"", ""FH"", ""COX10"", 
""MFN2"", ""NDUFB8"", ""HADHA"", ""NDUFB7"", ""ACAA1"", ""CPT1A"", ""OPA1"", ""UQCRH"", ""MTX2"", ""ETFDH"", ""MRPL35"", ""ATP6V1D"", ""ATP5MG"", ""MRPS30"", ""NDUFA9"", ""ECHS1"", ""TOMM70"", ""COX5B"", ""NDUFB5"", ""NDUFS3"", ""HSD17B10"", ""SLC25A20"", ""PDHB"")"
"2","HALLMARK_KRAS_SIGNALING_DN",0.170854271356784,0.219043937636902,0.214594475541377,1.11215059577864,33,166,"c(""CLDN8"", ""THRB"", ""COL2A1"", ""NR6A1"", ""FGFR3"", ""CAPN9"", ""P2RY4"", ""PRKN"", ""PCDHB1"", ""LFNG"", ""EDN1"", ""MFSD6"", ""ARHGDIG"", ""GPRC5C"", ""NPY4R"", ""SIDT1"", ""CPB1"", ""RGS11"", ""ZC2HC1C"", ""TFCP2L1"", ""HNF1A"", ""COQ8A"", ""TAS2R4"", ""MAGIX"", ""CD207"", ""ABCG4"", ""IDUA"", ""KRT15"", ""IFI44L"", ""CCDC106"", ""MX1"", ""DLK2"", ""PDK2"", ""MSH5"", ""PRODH"", ""EDAR"", ""UGT2B17"", ""SLC25A23"", ""ZNF112"", ""HSD11B2"", ""ABCB11"", ""ALOX12B"", ""FGGY"", ""SPHK2"")"
"3","HALLMARK_DNA_REPAIR",0.256038647342995,0.312242252857311,0.211520778978428,1.0763274573481,52,148,"c(""POLL"", ""DGCR8"", ""VPS37B"", ""RAD52"", ""POLR2H"", ""AK1"", ""CANT1"", ""UMPS"", ""NT5C"", ""SRSF6"", ""ITPA"", ""TAF9"", ""ERCC5"", ""POM121"", ""ADCY6"", ""NELFB"", ""VPS28"", ""SMAD5"", ""SNAPC4"", ""AK3"", ""STX3"", ""NME3"", ""POLR1C"", ""POLD1"", ""POLR2F"", ""DCTN4"", ""SAC3D1"", ""GTF2A2"", ""GTF2H3"", ""SURF1"", ""APRT"", ""POLB"", ""GTF2H5"", ""NUDT21"", ""ERCC1"", ""NELFE"", ""POLD4"")"
"4","HALLMARK_PANCREAS_BETA_CELLS",0.497159090909091,0.554229647308406,0.253077838705066,0.975614317221826,174,37,"c(""INSM1"", ""CHGA"", ""FOXA2"", ""DCX"", ""NEUROD1"", ""PAX6"", ""HNF1A"", ""GCG"", ""VDR"", ""G6PC2"")"
"5","HALLMARK_MYC_TARGETS_V2",0.912663755458515,0.912663755458515,-0.190729440807488,-0.708025647633509,626,58,"c(""MAP3K6"", ""SRM"", ""HK2"", ""RCL1"", ""SORD"", ""NOLC1"", ""DUSP2"", ""HSPE1"", ""BYSL"", ""WDR74"", ""PLK4"", ""DDX18"", ""CBX3"", ""NPM1"", ""PA2G4"", ""CDK4"", ""NDUFAF4"")"
"6","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.768645357686454,0.784331997639238,-0.236787696149606,-0.813663611354804,504,39,"c(""DKK1"", ""NCSTN"", ""WNT5B"", ""CSNK1E"", ""RBPJ"", ""CUL1"", ""NUMB"", ""CCND2"", ""CTNNB1"", ""NOTCH4"", ""DVL2"", ""FZD1"", ""ADAM17"", ""HEY2"")"
"7","HALLMARK_NOTCH_SIGNALING",0.617784711388456,0.657217778072825,-0.271398422703,-0.895035612772898,395,32,"c(""WNT5A"", ""ST3GAL6"", ""NOTCH3"", ""CCND1"", ""DTX1"", ""CUL1"", ""RBX1"", ""HEYL"")"
"8","HALLMARK_BILE_ACID_METABOLISM",0.655957161981258,0.683288710397144,-0.21782076144538,-0.900634069410826,489,106,"c(""AQP9"", ""ACSL1"", ""DIO2"", ""CYP7B1"", ""ATXN1"", ""SLC23A2"", ""ABCD1"", ""LCK"", ""GCLM"", ""ISOC1"", ""RBP1"", ""FADS1"", ""PNPLA8"", ""SLC29A1"", ""FADS2"", ""ABCD2"", ""GC"", ""SULT2B1"", ""SLC35B2"", ""FDXR"", ""PAOX"", ""SOD1"")"
"9","HALLMARK_SPERMATOGENESIS",0.556894243641232,0.605319830044817,-0.229317343585697,-0.948169545316075,415,106,"c(""DCC"", ""IL13RA2"", ""SLC2A5"", ""CHRM4"", ""CLPB"", ""GSG1"", ""PARP2"", ""BUB1"", ""ADCYAP1"", ""IL12RB2"", ""SEPTIN4"", ""TLE4"", ""LPIN1"", ""PGS1"", ""JAM3"", ""HSPA1L"", ""ALOX15"", ""RPL39L"", ""IDE"", ""OAZ3"", ""SYCP1"", ""TALDO1"", ""NCAPH"", ""CDK1"", ""PSMG1"")"
"10","HALLMARK_MITOTIC_SPINDLE",0.498806682577566,0.554229647308406,-0.218872029695185,-0.985449441226787,417,199,"c(""ARHGAP10"", ""WASF1"", ""FSCN1"", ""CDC42EP2"", ""RANBP9"", ""DOCK4"", ""PLEKHG2"", ""CCDC88A"", ""BRCA2"", ""TUBGCP3"", ""DOCK2"", ""MAP1S"", ""ARHGEF3"", ""MYO9B"", ""ABI1"", ""DLGAP5"", ""FARP1"", ""ARL8A"", ""CAPZB"", ""PREX1"", ""BUB1"", ""ARHGAP29"", ""ARAP3"", ""PIF1"", ""FBXO5"", ""LLGL1"", ""MYH10"", ""VCL"", ""MID1IP1"", ""NEDD9"", ""FLNA"", ""SMC4"", ""CLASP1"", ""PCGF5"", ""PKD2"", ""SOS1"", ""EPB41L2"", ""DYNLL2"", ""KIF5B"", ""NCK1"")"
