"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP1",1477.89013364173,-5.1938445006914,0.860104979225644,-6.03861694344269,1.55440755344842e-09,2.13824303052365e-05
"UCN2",141.603776194817,-5.23193434464994,0.861078693991058,-6.0760234589015,1.23199394343783e-09,2.13824303052365e-05
"CXCL5",940.569293041149,-4.6021752971644,0.813227270441328,-5.65915023320217,1.52124345302636e-08,0.000139508166265537
"ZNF527",889.803568525197,0.34968152634829,0.0644360788540033,5.4267971075736,5.73742841320454e-08,0.000394620326260209
"CXCL8",545.514852602284,-3.51853449490447,0.681927035823562,-5.15969350101385,2.47354452824485e-07,0.00136104314122145
"CHI3L1",1260.52265049458,-3.05873633790087,0.605035084761898,-5.05546936853189,4.29333537367012e-07,0.00149345321167837
"CLEC4D",48.6821584975627,-3.11817629062641,0.615043690540153,-5.0698451810601,3.98139434849852e-07,0.00149345321167837
"MFSD4A",425.174550766358,0.964643188919212,0.190894186005379,5.05328742118961,4.3426961665553e-07,0.00149345321167837
"CEMIP",971.804348735551,-2.70476684334243,0.544410953547644,-4.96824471608602,6.75616680132688e-07,0.00185875661038105
"FOXP3",80.7053469483284,-1.38398377523722,0.277983296424715,-4.97865804541978,6.40266489771233e-07,0.00185875661038105
"S100A9",190.584683339638,-3.55261787121652,0.723902825993009,-4.90758944937566,9.22026075436327e-07,0.00230607103521857
"AQP9",332.605913777922,-3.53495357141261,0.731278442942696,-4.8339365197035,1.33859287311478e-06,0.00306894726042781
"HCAR3",356.056941284841,-3.73448955707105,0.778801112440816,-4.79517748166397,1.62530866824502e-06,0.00319396372005408
"S100A8",164.559607612487,-3.84871515821106,0.800864432310132,-4.80570119353316,1.54210071013961e-06,0.00319396372005408
"ENSG00000286076",61.6847256301112,-4.11360416296151,0.864393652034531,-4.75894767769208,1.94604868508027e-06,0.00356931276159523
"CXCL6",140.342158034772,-3.30966458682874,0.69822849932011,-4.74008808012203,2.13625332973144e-06,0.0036732876004732
"MIR4307HG",137.079962377349,0.689389961489543,0.146770239780423,4.69706912328352,2.6392115534595e-06,0.00422767097828988
"PLAU",780.78183856001,-2.04840494775953,0.436995600564682,-4.68747270021163,2.76599584214953e-06,0.00422767097828988
"CARD16",295.717902987681,-0.878356891027171,0.188358305118897,-4.66322358588184,3.11294219392318e-06,0.00435569142428508
"HCAR2",263.082593216466,-3.35794352294812,0.723839382226135,-4.63907270784427,3.49975921876254e-06,0.00435569142428508
"PSMB9",1084.32651704214,-0.666792245788761,0.143209979820347,-4.65604594473955,3.22340030789772e-06,0.00435569142428508
"SLC22A15",255.635395298427,-1.00246186361726,0.216473840441867,-4.63086838377806,3.64135296447211e-06,0.00435569142428508
"WNT5A",1229.64838346895,-1.59707333604568,0.343763236615631,-4.64585262743324,3.38674721955238e-06,0.00435569142428508
"GBP2",2203.67636581414,-1.0033922074768,0.218285080440262,-4.59670539760684,4.29223833670319e-06,0.00492033587997409
"INHBA",943.913929600031,-2.99692975952199,0.654193374426052,-4.58110686637771,4.62521405146139e-06,0.00508995555935223
"STOM",2449.03261289253,-0.968120063290204,0.211911308443814,-4.56851533974126,4.91191126031387e-06,0.0051975577920675
"IFI30",1012.54227723744,-1.13912409824426,0.250073765552869,-4.55515233965407,5.23476270903442e-06,0.00533402932040574
"SLC7A5",488.309243435242,-1.13004031368361,0.248658957653457,-4.54453893134424,5.50556314575465e-06,0.00540960904521435
