"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"11","HALLMARK_KRAS_SIGNALING_UP",0.00151285930408472,0.00493997925208714,0.380502294841888,1.80718688903457,0,190,"c(""IL1B"", ""INHBA"", ""PRDM1"", ""CXCL10"", ""CFB"", ""G0S2"", ""PRRX1"", ""BIRC3"", ""ST6GAL1"", ""TRIB2"", ""TMEM158"", ""HDAC9"", ""RGS16"", ""TLR8"", ""PLAU"", ""PTGS2"", ""MAFB"", ""FCER1G"", ""TNFAIP3"", ""PECAM1"", ""CCL20"", ""SERPINA3"", ""TNFRSF1B"", ""PDCD1LG2"", ""GFPT2"", ""CLEC4A"", ""DOCK2"", ""IGF2"", ""IL33"", ""CSF2RA"", ""NRP1"", ""PCSK1N"", ""GUCY1A1"", ""CMKLR1"", ""C3AR1"", ""MMP9"", ""IKZF1"", ""ADAM8"", ""LY96"", ""LCP1"", ""ENG"", ""ADGRL4"", ""IL10RA"", ""TFPI"", ""GYPC"", ""TRAF1"", ""ADGRA2"", ""IL7R"", ""ALDH1A3"", ""SCN1B"", ""PPP1R15A"", ""KIF5C"", ""SLPI"", ""ITGB2"", 
""CXCR4"", ""RABGAP1L"", ""PLAUR"", ""LAT2"", ""GPRC5B"", ""LAPTM5"")"
"12","HALLMARK_HYPOXIA",0.00150602409638554,0.00493997925208714,0.373659314799339,1.77460454450396,0,191,"c(""CCN1"", ""IL6"", ""ADM"", ""WSB1"", ""TGM2"", ""SDC3"", ""CCN2"", ""RBPJ"", ""KLF7"", ""PFKFB3"", ""SLC6A6"", ""MAFF"", ""TPST2"", ""SERPINE1"", ""ATF3"", ""DUSP1"", ""STC2"", ""ZNF292"", ""SLC2A3"", ""TNFAIP3"", ""BGN"", ""PDK1"", ""FOSL2"", ""CHST2"", ""PGF"", ""FOS"", ""TIPARP"", ""BHLHE40"", ""ZFP36"", ""RORA"", ""IDS"", ""NAGK"", ""TGFBI"", ""PAM"", ""NR3C1"", ""CHST3"", ""TGFB3"", ""BNIP3L"", ""DCN"", ""DDIT4"", ""PDGFB"", ""CSRP2"", ""COL5A1"", ""HDLBP"", ""KDM3A"", ""HK2"", ""KLF6"", ""HEXA"", ""ERRFI1"", ""PNRC1"", ""PPFIA4"", ""PPP1R15A"", ""STC1"", ""PHKG1"", ""CAV1"", ""NDST1"", ""CXCR4"", ""SLC2A5"", 
""CCNG2"", ""PLAUR"", ""ALDOB"")"
"13","HALLMARK_ANGIOGENESIS",0.00743494423791822,0.0116171003717472,0.519164182921597,1.7739039374087,3,32,"c(""CXCL6"", ""FSTL1"", ""KCNJ8"", ""TIMP1"", ""MSX1"", ""FGFR1"", ""LUM"", ""NRP1"", ""VCAN"", ""COL5A2"", ""COL3A1"", ""STC1"", ""THBD"", ""PDGFA"", ""LPL"")"
"14","HALLMARK_APOPTOSIS",0.00152439024390244,0.00493997925208714,0.377176917346047,1.74245749313717,0,157,"c(""IL1B"", ""IRF1"", ""IL6"", ""BTG2"", ""CFLAR"", ""IL1A"", ""BIRC3"", ""CD38"", ""ANXA1"", ""CASP4"", ""DPYD"", ""ATF3"", ""MCL1"", ""CASP1"", ""TAP1"", ""SAT1"", ""NEDD9"", ""PDGFRB"", ""EGR3"", ""SOD2"", ""TIMP1"", ""IL18"", ""BGN"", ""LUM"", ""FAS"", ""BID"", ""MMP2"", ""CD69"", ""GNA15"", ""CASP8"", ""CD44"", ""RHOB"", ""FEZ1"", ""BNIP3L"", ""DCN"", ""PMAIP1"", ""CYLD"", ""BCL2L11"", ""HGF"", ""F2R"", ""TNFSF10"", ""BCL2L1"", ""GCH1"", ""TNF"", ""TIMP2"", ""CAV1"")"
"15","HALLMARK_UV_RESPONSE_DN",0.00306278713629403,0.00493997925208714,0.365118081161483,1.66274971216452,1,144,"c(""ATXN1"", ""CCN1"", ""SERPINE1"", ""DUSP1"", ""RBPMS"", ""PDGFRB"", ""ATP2B4"", ""RUNX1"", ""PTPRM"", ""COL1A1"", ""PIK3R3"", ""IGFBP5"", ""PTGFR"", ""COL1A2"", ""BHLHE40"", ""NR3C1"", ""IRS1"", ""NRP1"", ""INPP4B"", ""ABCC1"", ""PRKAR2B"", ""COL5A2"", ""FBLN5"", ""PTEN"", ""SYNE1"", ""NEK7"", ""CACNA1A"", ""NFIB"", ""INSIG1"", ""NOTCH2"", ""MAPK14"", ""FYN"", ""NFKB1"", ""TFPI"", ""COL3A1"", ""ITGB3"", ""AKT3"", ""CAV1"", ""AMPH"", ""RGS4"", ""CELF2"", ""TGFBR2"", ""F3"", ""EFEMP1"", ""PMP22"", ""HAS2"", ""SNAI2"", ""CDKN1B"", ""COL11A1"", ""MAGI2"", ""DAB2"", ""SDC2"", ""LDLR"", ""SPOP"", ""RASA2"", 
""SIPA1L1"", ""PRDM2"", ""BDNF"")"
"16","HALLMARK_HEDGEHOG_SIGNALING",0.0426716141001855,0.0592661306947021,0.422356567111937,1.46964865398122,22,35,"c(""PML"", ""THY1"", ""RTN1"", ""NRCAM"", ""NRP2"", ""NRP1"", ""ACHE"", ""SHH"", ""CELSR1"", ""DPYSL2"", ""ETS2"", ""CDK5R1"")"
"17","HALLMARK_APICAL_JUNCTION",0.113432835820896,0.135039090262971,0.251273779524586,1.19577502762161,75,192,"c(""CD274"", ""SDC3"", ""ICAM1"", ""CDH11"", ""MDK"", ""SIRPA"", ""THY1"", ""PECAM1"", ""FBN1"", ""PIK3R3"", ""VWF"", ""ALOX15B"", ""TGFBI"", ""SLC30A3"", ""MMP2"", ""IRS1"", ""CD86"", ""ZYX"", ""MYH10"", ""VCAN"", ""PTEN"", ""MMP9"", ""CX3CL1"", ""MSN"", ""FYB1"", ""FSCN1"", ""NLGN2"", ""AMIGO2"", ""PTPRC"", ""INSIG1"", ""GNAI2"", ""MAPK11"", ""NRXN2"", ""MAPK14"", ""TRAF1"", ""TRO"", ""CD276"", ""NFASC"", ""LAYN"", ""AKT3"", ""ARHGEF6"", ""CD34"", ""EXOC4"", ""CDH3"", ""ADAM9"", ""ACTN1"", ""ICAM5"", ""CERCAM"", ""CLDN18"", ""NLGN3"", ""CDH6"", ""ADAMTS5"", ""RAC2"")"
"18","HALLMARK_KRAS_SIGNALING_DN",0.153846153846154,0.178890876565295,0.253045904155774,1.16907982357512,101,156,"c(""SLC6A14"", ""BTG2"", ""DCC"", ""CCR8"", ""CD80"", ""TENT5C"", ""CHST2"", ""PTGFR"", ""SLC16A7"", ""TG"", ""NR4A2"", ""SLC30A3"", ""CLSTN3"", ""MTHFR"", ""DTNB"", ""SERPINA10"", ""IFNG"", ""IFI44L"", ""BMPR1B"", ""NPHS1"", ""KCNMB1"", ""IL12B"", ""PLAG1"", ""MEFV"", ""COPZ2"", ""MYO15A"", ""SHOX2"", ""KCND1"", ""KCNN1"", ""MX1"", ""NUDT11"", ""SLC12A3"", ""NOS1"", ""NPY4R"", ""PKP1"", ""STAG3"", ""TGFB2"", ""GPR19"", ""ZBTB16"", ""PAX3"", ""RYR2"", ""SNN"")"
"19","HALLMARK_TGF_BETA_SIGNALING",0.223404255319149,0.242830712303423,0.299426164947474,1.14615048270852,125,53,"c(""RAB31"", ""SERPINE1"", ""PMEPA1"", ""JUNB"", ""LTBP2"", ""ACVR1"", ""ENG"", ""TGFB1"", ""FURIN"", ""PPP1R15A"", ""TGFBR1"", ""THBS1"", ""ARID4B"", ""TRIM33"", ""CDKN1C"")"
"20","HALLMARK_PANCREAS_BETA_CELLS",0.398886827458256,0.415507111935683,0.292907772966375,1.02626349042211,214,36,"c(""STXBP1"", ""PCSK1"", ""MAFB"", ""ABCC8"", ""ELP4"", ""AKT3"", ""LMO2"")"
